theme,post_text,label
refugees,@mefbama @Smittyshs And orphans!!! https://t.co/oB6Kai68nQ,0
refugees,https://t.co/KCmYV4tvS2,0
refugees,"6 policiers allemands blessés par des migrants musulmans aux cris de ""allaouakbar""...\n\nhttps://t.co/6ie1XVHJ5z https://t.co/nhAxMLjSlO",0
refugees,Deutschganistan... ISIS supporters attacking German Police. #tcot #ukip #EU http://t.co/I8vJuZZZg3 http://t.co/qHt7A1dLQR,0
refugees,"RT @backatone000: Radical Muslims  rush into  churches in Germany, Scream “Fucking Christians!” And “Christians Are Shit!” http://t.co/ttb5…",0
refugees,"RT @backatone000: Radical Muslims  rush into  churches in Germany, Scream “Fucking Christians!” And “Christians Are Shit!” http://t.co/ttb5…",0
refugees,RT @TGSNTtv: #GoodbyeDeutschland #GoodbyeGermany is trending right now as #Islam &amp; #Judaism puts the final knife in their backs. https://t.…,0
refugees,Willkommen..!! http://t.co/yLvLNMr1pW,0
refugees,Bienvenue en Allemagne  https://t.co/GEYeww6gz5,0
refugees,RT @Megafauna2: @AmyMek @anonym_exmuslim @creepingsharia @barenakedislam @iammrsc THIS is what happens when U let in 2 many Muslims! https:…,0
refugees,RT @TGSNTtv: #GoodbyeDeutschland #GoodbyeGermany is trending right now as #Islam &amp; #Judaism puts the final knife in their backs. https://t.…,0
refugees,RT @patrick_le_fur: Tout va bien en #Allemagne Mme Merkel ! Immigration = richesse ! La France accueille les #clandestins à bras ouverts ht…,0
refugees,RT @Paris18__: Des drapeaux de Daesh brandis par les nouveaux gentils migrants devant la Police en Allemagne  #Bataclan https://t.co/xXRP5o…,0
refugees,RT @TGSNTtv: #GoodbyeDeutschland #GoodbyeGermany is trending right now as #Islam &amp; #Judaism puts the final knife in their backs. https://t.…,0
refugees,"RT @backatone000: Radical Muslims  rush into  churches in Germany, Scream “Fucking Christians!” And “Christians Are Shit!” http://t.co/ttb5…",0
refugees,RT @Balvenie01: Des drapeaux de Daesh brandis par les nouveaux gentils migrants devant la Police en Allemagne https://t.co/ynrCBxRYbr,0
refugees,RT @PNerval: Admirez les sympathiques visages de ces chances pour l'Europe qui n'ont pas hésité à s'enfuir lâchement de chez eux. https://t…,0
refugees,RT @Maria10303097: http://t.co/Z244QcFv0S,0
refugees,RT @Paris18__: Des migrants s'en prennent à la Police en Allemagne. Ça commence !   #COP21 https://t.co/duI7nIrlla,0
refugees,#refugees wait to enter a refugee camp in Gevgelija #Macedonia. For @nytimes @nytimesphoto  https://t.co/sczah03cMb http://t.co/XeX2aKLUdh,1
refugees,RT @Samuel_Aranda_: #refugees wait to enter a refugee camp in Gevgelija #Macedonia. For @nytimes @nytimesphoto  https://t.co/sczah03cMb htt…,1
refugees,RT @HumzaYousaf: For those think refugees come Europe for life of luxury -does this look like luxury? We wouldn't last a day in camps http:…,1
refugees,RT @HumzaYousaf: For those think refugees come Europe for life of luxury -does this look like luxury? We wouldn't last a day in camps http:…,1
refugees,RT @HumzaYousaf: For those think refugees come Europe for life of luxury -does this look like luxury? We wouldn't last a day in camps http:…,1
refugees,"RT @BabarBloch: Hegyeshalom, #Hungary: Refugees long walk to freedom. #Europe provides sanctuary http://t.co/b093HjKA4A",1
refugees,"RT @BabarBloch: Hegyeshalom, #Hungary: Refugees long walk to freedom. #Europe provides sanctuary http://t.co/b093HjKA4A",1
refugees,RT @Refugees: Today Mediterranean sea arrivals to Europe reach 1 million. 49% are from Syria.  https://t.co/nAUZy25H5X https://t.co/RgJ89LH…,1
refugees,RT @Refugees: Today Mediterranean sea arrivals to Europe reach 1 million. 49% are from Syria.  https://t.co/nAUZy25H5X https://t.co/RgJ89LH…,1
refugees,RT @julianfirpo: Titta på barnen. De satt närmare 30 barn i den här båten. Barn som flyr i en överfull båt över havet. https://t.co/YtTfJxX…,1
refugees,Titta på barnen. De satt närmare 30 barn i den här båten. Barn som flyr i en överfull båt över havet. https://t.co/YtTfJxXh6d,1
refugees,RT @Refugees: Vulnerable refugees + migrants are in need of protection + assistance. Our strategy: https://t.co/3PNso9q8nT #Europe https://…,1
refugees,RT @Refugees: Vulnerable refugees + migrants are in need of protection + assistance. Our strategy: https://t.co/3PNso9q8nT #Europe https://…,1
refugees,RT @UNRefugeeAgency: These Photos Show Another Face Of The #RefugeeCrisis: https://t.co/SDiePXmOnT #supportrefugees #refugees https://t.co/…,1
refugees,RT @UNRefugeeAgency: These Photos Show Another Face Of The #RefugeeCrisis: https://t.co/SDiePXmOnT #supportrefugees #refugees https://t.co/…,1
