theme,post_text,label
samurai,‘Samurai Ghost’: Photo Shows Mysterious Boots Behind Girl -  http://t.co/uUKoC3hHrE http://t.co/ixtyHvVvM5,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl - http://t.co/COXcOdJXQi #sheeeeeeiiit http://t.co/OBoHoeV5Kc,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl | http://t.co/4gUzNYF2Yy http://t.co/gydiTEn665,0
samurai,Samurai ghost caught behind girl on Japanese beach! http://t.co/o2eC5GXZcC,0
samurai,Samurai ghost? Photo shows mysterious boots behind girl. http://t.co/7gMeif4dRN,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/dzcn4f0Dyl,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/aybKnjSdPP http://t.co/r9vk8BVHoZ,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/xGJkQNM57S http://t.co/EQ8zexonQ2,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/ktOTwONDEO,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/aoBWxY9GXp http://t.co/Ur6psTi7Yb,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl😱🙀 http://t.co/9J78fIzYyS http://t.co/LhpIZ3mYv8,0
samurai,This is scary!  'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl http://t.co/5aCg0jjb2n,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl:... http://t.co/33TMX0s4dm,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl - ABC News http://t.co/K2aIWF8Sg8 http://t.co/8Y3yK8Fd7w,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl #samurai #ghost. 😳 http://t.co/X5pHUfeqCe,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/F7m0b2Av6F,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/j4r5C4o4Bz,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/e51S3LTqUG,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/sq3G7Tc5en,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/rUQ30hOwfK,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/ou1Rfu9EVM,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. Most odd! http://t.co/l5mZVMK2AX,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/qqkqejL7BH,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/mTcuWw2PSP,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/Rbzcfoca1r,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/tRR4PjN9Oh,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. @Rochelle_RPh  http://t.co/ixOAgCCKtK,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/ix3ail7zWv,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/13CoAIUFmN,0
samurai,Samurai ghost? Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/hThjb0161g,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/Sz3bQW58iz,0
samurai,Samurai ghost? Photo shows mysterious boots behind girl #samurai #ghost http://t.co/1HNhD0Rlk7,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/P2g3Yks8JO,0
samurai,'Samurai ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/tA0jtwHipT,0
samurai,'Samurai Ghost': Photo shows mysterious boots behind girl #samurai #ghost. http://t.co/NeKW8RYbjO,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl https://t.co/gIXDoIuPWh,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl https://t.co/tHLhe4RKG3,0
samurai,'Samurai Ghost': Photo Shows Mysterious Boots Behind Girl - Yahoo scary 😑 https://t.co/5akfg5gt5d,0
