theme,post_text,label
hubble,Earth cradled by clouds taken by Hubble telescope https://t.co/oFylFkZ36U,0
hubble,"Planet Earth wrapped up a blanket of clouds, taken by the hubble telescope. Cool or what? https://t.co/MQRysPhcpV",0
hubble,How cool is this photo of the Earth in clouds shot from Hubble telescope  Click here to vote https://t.co/Bt9KqTY7sL https://t.co/D8BiYlRYnG,0
hubble,Picture of Earth shrouded in the clouds. This picture was taken from the hubble Telescope. https://t.co/4u95gUVNaY,0
hubble,"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
hubble,RT @Bretwinograd: The #earth cradled in clouds as seen from the #Hubble telescope https://t.co/MC0NHXWU12,0
hubble,The #earth cradled in clouds as seen from the #Hubble telescope https://t.co/MC0NHXWU12,0
hubble,Earth in a cradle of clouds - via the hubble telescope  #space #meteorology #spectaclar #science https://t.co/jUoAwyQ6YW,0
hubble,"@jamesrollins viewed Earth cradled in clouds taken by Hubble Telescope, just beautiful https://t.co/Rs61x4uXwn",0
hubble,RT @ClimateJette: #Earth in her cradle of clouds as seen from the #hubble telescope https://t.co/JgjM5VheAv,0
hubble,Earth in Her Cradle of Clouds. Namaste from  The Hubble Telescope. https://t.co/RY8BMtlNkI,0
hubble,"The earth cradled by clouds, from the Hubble telescope. https://t.co/JOCa4xsFAr",0
hubble,"RT @WagnerChaplain: The earth, cradled by clouds, from the Hubble telescope. #space #cosmos https://t.co/A3Vs3F7vim",0
hubble,"The earth, cradled by clouds, from the Hubble telescope. #space #cosmos https://t.co/A3Vs3F7vim",0
hubble,RT @aboveandbeyond9: #Wow... Mother Earth in her cradle of clouds - taken by the Hubble Telescope. #Nature #Hills #Mountains https://t.co/m…,0
hubble,"Feeling the #cold today?\n\nTake a look at this photograph of earth cradled by clouds, from the Hubble telescope! https://t.co/jCXBIfN3E4",0
hubble,"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
hubble,"RT @G_C_44: A phenomenal photograph of our home cradled by clouds, from the Hubble telescope\n#earth #hubble #clouds https://t.co/l7lyVZ6CVL",0
