theme,post_text,label
garissa,The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/Z0C2BZVTHU,1
garissa,147 pelajar dilaporkan terbunuh oleh serangan #AlShabaab di #Kenya.Ambil tahu hal dunia. #GarissaAttack Doa. http://t.co/gTsSty3h1O,1
garissa,"Our Father!, strengthen their families in this moment of time that's hard to take in the#GarissaAttack http://t.co/MbMhByRPzS",1
garissa,This is what's happened to our fellow Kenyan.. #GarissaAttack.. \nRIP. Say amen http://t.co/bFub6QqSMh,1
garissa,Why take a picture? RT @joansalihi: The horror image from inside #Kenya campus #GarissaAttack http://t.co/KHR3jd4McU,1
garissa,“@joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed. http://t.co/JWs9ncq9Yh” wtfffff,1
garissa,eggheader: RT joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed f… http://t.co/qv7ttfEucS,1
garissa,Why. “@joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from . http://t.co/fGNMJDGs2h”,1
garissa,WHY “@joansalihi: The horror image from inside campus #GarissaAttack 147 students reported killed from attack. http://t.co/by1m2ASvEe”,1
garissa,"\""@BeautyArabian: An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/clUc5xYKRr\""allah",1
garissa,An awful attack in Kenya by AlShabaab. 147 people reported to be dead. #WhatAShame #GarissaAttack @jaalaj1992 http://t.co/eAO8JMXemn,1
garissa,An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/GuJnKYiDuu #PAT,1
garissa,“@BeautyArabian: An awful attack in Kenya by #AlShabaab. 147 people reported to be dead. #GarissaAttack http://t.co/LMcicgJV5q” smh,1
garissa,The World must see this! @CNN @ABC  horror image from inside #Kenya campus #GarissaAttack 147 killed http://t.co/GdiKowk0Be #PrayForKenya,1
garissa,"Humanity loses @joansalihi: The horror image from inside #Kenya campus #GarissaAttack #AlShabaab attack. http://t.co/au1DArBF9o\""",1
